sku,product_name,category,quantity,unit_cost,unit_price,vendor_id,reorder_level,active
BTX-001,Botox 100U,Injectables,25,350,450,1,10,true
LPF-002,Lip Filler 1ml,Injectables,15,500,700,1,5,true
SCP-003,Sculptra Vial,Injectables,8,950,1200,1,3,true
LHR-008,Laser HR Cartridge,Laser,12,400,600,2,5,true
FRX-009,Fraxis Tip,Laser,20,1000,1500,2,5,true
EMS-011,EMSCULPT Paddle,Body,2,1500,2000,3,1,false
CLS-012,CoolSculpting Applicator,Body,4,1800,2500,3,1,true
HFM-005,HydraFacial Serum,Facial,30,180,250,4,10,true
CHP-006,Chemical Peel Kit,Facial,10,200,300,4,3,true
MCL-007,Microneedling Cartridge,Facial,40,250,400,4,15,true
